CodigoVariable,FechaHora,CodigoDuracion,UnidadMedida,Version,Valor
PB_Int,2025-12-27 21:00:00,PT1H,COP/kWh,TX1,350.2668
PB_Int,2025-12-27 12:00:00,PT1H,COP/kWh,TX1,245.2668
PB_Int,2025-12-27 08:00:00,PT1H,COP/kWh,TX1,237.1668
PB_Int,2025-12-27 19:00:00,PT1H,COP/kWh,TX1,390.2668
PB_Int,2025-12-27 16:00:00,PT1H,COP/kWh,TX1,325.2668
PB_Int,2025-12-27 22:00:00,PT1H,COP/kWh,TX1,325.2668
PB_Int,2025-12-27 23:00:00,PT1H,COP/kWh,TX1,325.2668
PB_Int,2025-12-27 11:00:00,PT1H,COP/kWh,TX1,245.2668
PB_Int,2025-12-27 17:00:00,PT1H,COP/kWh,TX1,325.2668
PB_Int,2025-12-27 03:00:00,PT1H,COP/kWh,TX1,250.2668
PB_Int,2025-12-27 02:00:00,PT1H,COP/kWh,TX1,245.2668
PB_Int,2025-12-27 18:00:00,PT1H,COP/kWh,TX1,390.2668
PB_Int,2025-12-27 09:00:00,PT1H,COP/kWh,TX1,101.7968
PB_Int,2025-12-27 13:00:00,PT1H,COP/kWh,TX1,245.2668
PB_Int,2025-12-27 14:00:00,PT1H,COP/kWh,TX1,250.2668
PB_Int,2025-12-26 02:00:00,PT1H,COP/kWh,TX1,171.1292
PB_Int,2025-12-26 07:00:00,PT1H,COP/kWh,TX1,247.1292
PB_Int,2025-12-26 13:00:00,PT1H,COP/kWh,TX1,282.1292
PB_Int,2025-12-26 22:00:00,PT1H,COP/kWh,TX1,347.1292
PB_Int,2025-12-26 06:00:00,PT1H,COP/kWh,TX1,247.1292
PB_Int,2025-12-26 19:00:00,PT1H,COP/kWh,TX1,347.1292
PB_Int,2025-12-26 05:00:00,PT1H,COP/kWh,TX1,247.1292
PB_Int,2025-12-26 14:00:00,PT1H,COP/kWh,TX1,282.1292
PB_Int,2025-12-26 21:00:00,PT1H,COP/kWh,TX1,347.1292
PB_Int,2025-12-26 18:00:00,PT1H,COP/kWh,TX1,392.1292
PB_Int,2025-12-26 08:00:00,PT1H,COP/kWh,TX1,103.5512
PB_Int,2025-12-26 01:00:00,PT1H,COP/kWh,TX1,218.9632
PB_Int,2025-12-26 04:00:00,PT1H,COP/kWh,TX1,171.1292
PB_Int,2025-12-26 09:00:00,PT1H,COP/kWh,TX1,171.1292
PB_Int,2025-12-26 03:00:00,PT1H,COP/kWh,TX1,171.1292
PB_Int,2025-12-26 12:00:00,PT1H,COP/kWh,TX1,247.1292
PB_Int,2025-12-26 00:00:00,PT1H,COP/kWh,TX1,247.1292
PB_Int,2025-12-26 10:00:00,PT1H,COP/kWh,TX1,171.1292
PB_Int,2025-12-26 20:00:00,PT1H,COP/kWh,TX1,347.1292
PB_Int,2025-12-26 11:00:00,PT1H,COP/kWh,TX1,171.1292
PB_Int,2025-12-26 16:00:00,PT1H,COP/kWh,TX1,347.1292
PB_Int,2025-12-26 17:00:00,PT1H,COP/kWh,TX1,347.1292
PB_Int,2025-12-26 15:00:00,PT1H,COP/kWh,TX1,282.1292
PB_Int,2025-12-26 23:00:00,PT1H,COP/kWh,TX1,332.1292
PB_Int,2025-12-25 13:00:00,PT1H,COP/kWh,TX1,171.2861
PB_Int,2025-12-25 00:00:00,PT1H,COP/kWh,TX1,181.2861
PB_Int,2025-12-25 04:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Int,2025-12-25 17:00:00,PT1H,COP/kWh,TX1,234.2861
PB_Int,2025-12-25 03:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Int,2025-12-25 09:00:00,PT1H,COP/kWh,TX1,95.8481
PB_Int,2025-12-25 08:00:00,PT1H,COP/kWh,TX1,102.2901
PB_Int,2025-12-25 06:00:00,PT1H,COP/kWh,TX1,181.2861
PB_Int,2025-12-25 21:00:00,PT1H,COP/kWh,TX1,321.2861
PB_Int,2025-12-25 11:00:00,PT1H,COP/kWh,TX1,102.2901
PB_Int,2025-12-25 10:00:00,PT1H,COP/kWh,TX1,95.8481
PB_Int,2025-12-25 19:00:00,PT1H,COP/kWh,TX1,321.2861
PB_Int,2025-12-25 20:00:00,PT1H,COP/kWh,TX1,321.2861
PB_Int,2025-12-25 01:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Int,2025-12-25 22:00:00,PT1H,COP/kWh,TX1,321.2861
PB_Int,2025-12-25 12:00:00,PT1H,COP/kWh,TX1,171.2861
PB_Int,2025-12-25 05:00:00,PT1H,COP/kWh,TX1,234.2861
PB_Int,2025-12-25 23:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Int,2025-12-25 14:00:00,PT1H,COP/kWh,TX1,181.2861
PB_Int,2025-12-25 02:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Int,2025-12-25 07:00:00,PT1H,COP/kWh,TX1,171.2861
PB_Int,2025-12-25 16:00:00,PT1H,COP/kWh,TX1,191.2861
PB_Int,2025-12-25 15:00:00,PT1H,COP/kWh,TX1,181.2861
PB_Int,2025-12-25 18:00:00,PT1H,COP/kWh,TX1,321.2861
